"tensor(0.8542, device='cuda:0')",tensor([6.3922])
"tensor(0.8505, device='cuda:0')",tensor([6.4706])
"tensor(0.8469, device='cuda:0')",tensor([6.5490])
"tensor(0.8433, device='cuda:0')",tensor([6.6275])
"tensor(0.8397, device='cuda:0')",tensor([6.7059])
"tensor(0.8361, device='cuda:0')",tensor([6.7843])
"tensor(0.8326, device='cuda:0')",tensor([6.8627])
"tensor(0.8292, device='cuda:0')",tensor([6.9412])
"tensor(0.8257, device='cuda:0')",tensor([7.0196])
"tensor(0.8224, device='cuda:0')",tensor([7.0980])
"tensor(0.8190, device='cuda:0')",tensor([7.1765])
"tensor(0.8158, device='cuda:0')",tensor([7.2549])
"tensor(0.8126, device='cuda:0')",tensor([7.3333])
"tensor(0.8094, device='cuda:0')",tensor([7.4118])
"tensor(0.8063, device='cuda:0')",tensor([7.4902])
"tensor(0.8033, device='cuda:0')",tensor([7.5686])
"tensor(0.8003, device='cuda:0')",tensor([7.6471])
"tensor(0.7974, device='cuda:0')",tensor([7.7255])
"tensor(0.7945, device='cuda:0')",tensor([7.8039])
"tensor(0.7918, device='cuda:0')",tensor([7.8824])
"tensor(0.7890, device='cuda:0')",tensor([7.9608])
"tensor(0.7864, device='cuda:0')",tensor([8.0392])
"tensor(0.7838, device='cuda:0')",tensor([8.1176])
"tensor(0.7813, device='cuda:0')",tensor([8.1961])
"tensor(0.7788, device='cuda:0')",tensor([8.2745])
"tensor(0.7764, device='cuda:0')",tensor([8.3529])
"tensor(0.7741, device='cuda:0')",tensor([8.4314])
"tensor(0.7718, device='cuda:0')",tensor([8.5098])
"tensor(0.7696, device='cuda:0')",tensor([8.5882])
"tensor(0.7674, device='cuda:0')",tensor([8.6667])
"tensor(0.7653, device='cuda:0')",tensor([8.7451])
"tensor(0.7633, device='cuda:0')",tensor([8.8235])
"tensor(0.7613, device='cuda:0')",tensor([8.9020])
"tensor(0.7594, device='cuda:0')",tensor([8.9804])
"tensor(0.7575, device='cuda:0')",tensor([9.0588])
"tensor(0.7557, device='cuda:0')",tensor([9.1373])
"tensor(0.7540, device='cuda:0')",tensor([9.2157])
"tensor(0.7522, device='cuda:0')",tensor([9.2941])
"tensor(0.7506, device='cuda:0')",tensor([9.3725])
"tensor(0.7490, device='cuda:0')",tensor([9.4510])
"tensor(0.7474, device='cuda:0')",tensor([9.5294])
"tensor(0.7459, device='cuda:0')",tensor([9.6078])
"tensor(0.7444, device='cuda:0')",tensor([9.6863])
"tensor(0.7430, device='cuda:0')",tensor([9.7647])
"tensor(0.7416, device='cuda:0')",tensor([9.8431])
"tensor(0.7403, device='cuda:0')",tensor([9.9216])
"tensor(0.7390, device='cuda:0')",tensor([10.])
