"tensor(1.2715, device='cuda:0')",tensor([6.9412])
"tensor(0.9318, device='cuda:0')",tensor([7.0196])
"tensor(1.0078, device='cuda:0')",tensor([7.0980])
"tensor(1.0894, device='cuda:0')",tensor([7.1765])
"tensor(0.8486, device='cuda:0')",tensor([7.2549])
"tensor(0.3536, device='cuda:0')",tensor([7.3333])
"tensor(1.1917, device='cuda:0')",tensor([7.4118])
"tensor(0.5270, device='cuda:0')",tensor([7.4902])
"tensor(1.0358, device='cuda:0')",tensor([7.5686])
"tensor(0.7540, device='cuda:0')",tensor([7.6471])
"tensor(0.8920, device='cuda:0')",tensor([7.7255])
"tensor(0.9236, device='cuda:0')",tensor([7.8039])
"tensor(1.2570, device='cuda:0')",tensor([7.8824])
"tensor(0.5696, device='cuda:0')",tensor([7.9608])
"tensor(1.2441, device='cuda:0')",tensor([8.0392])
"tensor(1.0732, device='cuda:0')",tensor([8.1176])
"tensor(0.7799, device='cuda:0')",tensor([8.1961])
"tensor(1.3110, device='cuda:0')",tensor([8.2745])
"tensor(0.8941, device='cuda:0')",tensor([8.3529])
"tensor(0.9578, device='cuda:0')",tensor([8.4314])
"tensor(0.3794, device='cuda:0')",tensor([8.5098])
"tensor(1.2414, device='cuda:0')",tensor([8.5882])
"tensor(0.9896, device='cuda:0')",tensor([8.6667])
"tensor(1.0971, device='cuda:0')",tensor([8.7451])
"tensor(1.1717, device='cuda:0')",tensor([8.8235])
"tensor(1.3276, device='cuda:0')",tensor([8.9020])
"tensor(1.0934, device='cuda:0')",tensor([8.9804])
"tensor(0.7086, device='cuda:0')",tensor([9.0588])
"tensor(1.0911, device='cuda:0')",tensor([9.1373])
"tensor(0.5782, device='cuda:0')",tensor([9.2157])
"tensor(0.7145, device='cuda:0')",tensor([9.2941])
"tensor(1.1154, device='cuda:0')",tensor([9.3725])
"tensor(0.8908, device='cuda:0')",tensor([9.4510])
"tensor(1.3170, device='cuda:0')",tensor([9.5294])
"tensor(0.9954, device='cuda:0')",tensor([9.6078])
"tensor(0.9478, device='cuda:0')",tensor([9.6863])
"tensor(1.2729, device='cuda:0')",tensor([9.7647])
"tensor(0.8105, device='cuda:0')",tensor([9.8431])
"tensor(1.0439, device='cuda:0')",tensor([9.9216])
"tensor(1.0825, device='cuda:0')",tensor([10.])
